Country,Total_GWh_2019,Rebewable_GWh_2019,Non-Renewable_GWh_2019,Hydro_GWh_2019,Solar_GWh_2019,Wind_GWh_2019,Bio_GWh_2019,Geothermal_GWh_2020,Elec. CO2 emission 2019 (Mt),emission intensity 2019 (t/GWh),Biomass potential (tC/ha/year),Wind Potential (W/m2),PV potential (MWh/kW.year),Total_MW_2020,Rebewable_MW_2020,Non-Renewable_MW_2020,Hydro_MW_2020,Solar_MW_2020,Wind_MW_2020,Bio_MW_2020,Geothermal_MW_2020,Decarb Target
Samoa,169,73,96,49,24,0,0,0,0,272,10.5,<260,1.5,60,28,31.8,14.4,13.8,0.6,0,0,
Nauru,38,1,37,0,1,0,0,0,0,-,10.5,<260,1.7,19,2,17,0,2,0,0,0,
Vanuatu,84,23,62,8,7,6,1,0,0,328,10.5,<260,1.4,34,12,23,1,4,3,3,0,
Palau,85,2,83,0,2,0,0,0,0.4,5182,10.5,<260,1.5,34,2,32,0,2,0,0,0,
Kiribati,36,5,31,0,5,0,0,0,0,308,10.5,<260,1.7,9,3,6.3,0,2.7,0,0,0,
Cook Islands,44,15,29,0,15,0,0,0,0,330,10.5,340,1.7,26,7.28,18.72,0,7,0,0,0,
Solomon Islands,105,7,98,1,3,0,3,0,0,413,10.5,<260,1.4,67,4,64,0,3,0,1,0,
Tonga,72,9,64,0,7,1,0,0,0,586,10.5,340,1.5,25,7.5,17.5,0,6,1.5,0,0,
New Caledonia,3228,434,2794,361,28,45,0,0,3,-,10.5,420,1.4,964,149,819.4,78,33,38,0,0,
French Polynesia,694,200,493,160,40,0,0,0,0.2,283,10.5,300,1.7,299,89,210,48,41,0,0,0,
Micronesia,64,4,60,1,3,0,0,0,0,440,10.5,<260,1.5,28,3,24.64,0.84,1.96,0.84,0,0,
Niue,3,0,3,0,0,0,0,0,0,440,10.5,340,1.5,3,0,3,0,0,0,0,0,
Tuvalu,9,2,7,0,2,0,0,0,0,440,10.5,<260,1.5,5,2,3,0,2,0,0,0,
PNG,2087,1321,765,877,1,0,43,400,1,619,10.5,<260,1.3,1037,333,703,258,1,0,18,56,
Fiji,1223,664,559,560,13,3,88,0,0.4,340,10.5,300,1.3,362,212,150,138,10,10,54,0,
