Country,Youngest volcanism,Known geothermal locations,Geothermal investigations,Observed hot spring temperature,Potentials
PNG,Active (last 500 years),41 thermal areas,Development,36-101,High
Fiji,Recent (last 50 ka years),53 thermal areas,Detailed,31-102,High
Vanuatu,Active,20 thermal areas,Reconnaissance,30-78,Moderate-to-High
Solomon Islands,Active,8 thermal areas,Reconnaissance,57-99,Moderate-to-High
Samoa,Active,Prospective rift valley,None,-,Moderate
Tonga,Active,Thermal springs,None,-,Moderate
New Caledonia,Unknown,2 thermal areas,Reconnaissance,22-43,Moderate
French Polynesia,Recent,Submarine,None,-,Low-to-Moderate
American Samoa,~1 Ma,None,None,-,Low
Cook Islands,1.5 Ma,None,None,-,Low
Palau,~20 Ma,None,None,-,Extremely-Low
Guam,~32 Ma,None,None,-,Extremely-Low
Niue,>20 Ma,None,None,-,Extremely-Low
Kiribati,~80 Ma,None,None,-,Extremely-Low
Marshall Islands,~80 Ma,None,None,-,Extremely-Low
Micronesia,Unknown,None,None,-,Extremely-Low
Tuvalu,Unknown,None,None,-,Extremely-Low
